winner,rounds,firstRoundVotes,finalRoundVotes,election_id
candidate_1,4,9129,20711,election_05-04-2020_08-40-23_5cands_16noise.csv
candidate_1,3,13918,22940,election_04-30-2020_21-00-03_4_0.0225.csv
candidate_4,4,7502,17361,election_05-02-2020_08-18-17_5cands_3noise.csv
candidate_1,3,3400,5758,election_05-04-2020_08-38-34_4cands_12noise.csv
candidate_2,3,11236,24975,election_04-30-2020_20-59-34_4_0.0375.csv
candidate_4,3,2637,4767,election_04-30-2020_21-06-11_4_0.0125.csv
candidate_3,2,8199,9844,election_04-30-2020_21-08-19_3_0.013333333333333334.csv
candidate_3,3,8907,17218,election_05-04-2020_08-40-33_4cands_10noise.csv
candidate_2,2,2034,3069,election_05-02-2020_08-18-31_3cands_18noise.csv
candidate_3,5,4260,12655,election_04-30-2020_21-04-28_6_0.006666666666666667.csv
candidate_4,3,10258,17129,election_04-30-2020_21-08-00_4_0.0275.csv
candidate_3,4,565,1455,election_05-04-2020_08-39-40_5cands_12noise.csv
candidate_3,3,6130,11281,election_04-30-2020_21-07-57_4_0.01.csv
candidate_2,2,10855,14972,election_04-30-2020_21-08-54_3_0.02.csv
candidate_3,2,2166,3731,election_05-02-2020_08-19-42_3cands_2noise.csv
candidate_1,4,9156,19237,election_05-04-2020_08-40-11_5cands_8noise.csv
candidate_1,4,6574,14845,election_05-04-2020_08-40-56_5cands_17noise.csv
candidate_1,2,1033,1539,election_05-02-2020_08-17-43_3cands_11noise.csv
candidate_2,2,3114,3728,election_05-02-2020_08-19-53_3cands_16noise.csv
candidate_2,3,14039,23340,election_05-04-2020_08-41-05_4cands_3noise.csv
candidate_2,3,1216,1894,election_05-02-2020_08-17-57_4cands_5noise.csv
candidate_3,3,5418,9074,election_05-04-2020_08-40-00_4cands_13noise.csv
candidate_4,3,3381,5599,election_05-02-2020_08-19-20_4cands_12noise.csv
candidate_3,2,6309,6891,election_05-02-2020_08-19-31_3cands_13noise.csv
candidate_1,2,1478,2117,election_05-04-2020_08-40-42_3cands_20noise.csv
candidate_3,2,23128,29799,election_05-02-2020_08-18-42_3cands_7noise.csv
candidate_4,4,1816,4250,election_05-04-2020_08-39-51_5cands_20noise.csv
candidate_4,3,1424,2027,election_04-30-2020_21-08-24_4_0.0225.csv
candidate_1,3,10983,17016,election_04-30-2020_20-59-59_4_0.0075.csv
candidate_1,3,11653,22798,election_05-02-2020_08-18-56_4cands_8noise.csv
