Round: 1,Election,Round: 2,Round: 3,Round: 4,Round: 5
"[{'candidate_3': ' 8110'}, {'candidate_2': ' 5635'}, {'candidate_1': ' 1760'}]",election_09-22-2020_23-00-57_3cands_0.02666666666666667noise.csv,,,,
"[{'candidate_1': '22255'}, {'candidate_2': '16095'}, {'candidate_3': ' 7519'}]",election_09-22-2020_23-00-57_3cands_0.04666666666666667noise.csv,"[{'candidate_1': '27432'}, {'candidate_2': '18437'}, {'candidate_3': '0'}]",,,
"[{'candidate_4': '10705'}, {'candidate_2': ' 9746'}, {'candidate_3': ' 9159'}, {'candidate_1': ' 7662'}]",election_09-22-2020_23-00-57_4cands_0.03noise.csv,"[{'candidate_4': '12922'}, {'candidate_2': '12451'}, {'candidate_3': '11899'}, {'candidate_1': '0'}]","[{'candidate_2': '21517'}, {'candidate_4': '15755'}, {'candidate_3': '0'}, {'candidate_1': '0'}]",,
"[{'candidate_2': ' 6023'}, {'candidate_3': ' 3712'}, {'candidate_1': ' 1869'}]",election_09-22-2020_23-05-19_3cands_0.0033333333333333335noise.csv,,,,
"[{'candidate_4': '11451'}, {'candidate_2': '11288'}, {'candidate_1': '10579'}, {'candidate_3': '10522'}]",election_09-22-2020_23-05-19_4cands_0.035noise.csv,"[{'candidate_2': '16509'}, {'candidate_4': '15331'}, {'candidate_1': '12000'}, {'candidate_3': '0'}]","[{'candidate_2': '23750'}, {'candidate_4': '20090'}, {'candidate_1': '0'}, {'candidate_3': '0'}]",,
"[{'candidate_5': ' 5064'}, {'candidate_3': ' 4508'}, {'candidate_2': ' 4507'}, {'candidate_4': ' 4274'}, {'candidate_1': ' 3775'}]",election_09-22-2020_23-05-19_5cands_0.026000000000000002noise.csv,"[{'candidate_5': ' 6181'}, {'candidate_4': ' 5394'}, {'candidate_2': ' 5338'}, {'candidate_3': ' 5215'}, {'candidate_1': '0'}]","[{'candidate_5': ' 7964'}, {'candidate_2': ' 7407'}, {'candidate_4': ' 6757'}, {'candidate_3': '0'}, {'candidate_1': '0'}]","[{'candidate_5': '11695'}, {'candidate_2': '10433'}, {'candidate_4': '0'}, {'candidate_3': '0'}, {'candidate_1': '0'}]",
"[{'candidate_1': ' 9644'}, {'candidate_2': ' 7972'}, {'candidate_3': ' 1837'}]",election_09-22-2020_23-05-20_3cands_0.013333333333333334noise.csv,"[{'candidate_1': '11082'}, {'candidate_2': ' 8371'}, {'candidate_3': '0'}]",,,
"[{'candidate_3': ' 1976'}, {'candidate_1': ' 1375'}, {'candidate_2': ' 1005'}]",election_09-22-2020_23-05-20_3cands_0.03333333333333333noise.csv,"[{'candidate_3': ' 2406'}, {'candidate_1': ' 1950'}, {'candidate_2': '0'}]",,,
"[{'candidate_2': ' 1241'}, {'candidate_3': '712'}, {'candidate_1': '672'}]",election_09-22-2020_23-05-20_3cands_0.03666666666666667noise.csv,"[{'candidate_2': ' 1757'}, {'candidate_3': '868'}, {'candidate_1': '0'}]",,,
"[{'candidate_3': ' 6369'}, {'candidate_1': ' 6063'}, {'candidate_4': ' 5497'}, {'candidate_2': ' 5022'}]",election_09-22-2020_23-05-20_4cands_0.0225noise.csv,"[{'candidate_1': ' 8348'}, {'candidate_3': ' 7474'}, {'candidate_4': ' 7129'}, {'candidate_2': '0'}]","[{'candidate_1': '11526'}, {'candidate_3': '11425'}, {'candidate_4': '0'}, {'candidate_2': '0'}]",,
"[{'candidate_5': ' 3130'}, {'candidate_1': ' 2888'}, {'candidate_3': ' 2791'}, {'candidate_2': ' 2523'}, {'candidate_4': ' 2501'}]",election_09-22-2020_23-05-20_5cands_0.028000000000000004noise.csv,"[{'candidate_1': ' 3652'}, {'candidate_5': ' 3591'}, {'candidate_3': ' 3577'}, {'candidate_2': ' 3013'}, {'candidate_4': '0'}]","[{'candidate_1': ' 4765'}, {'candidate_5': ' 4539'}, {'candidate_3': ' 4529'}, {'candidate_2': '0'}, {'candidate_4': '0'}]","[{'candidate_1': ' 7063'}, {'candidate_5': ' 6770'}, {'candidate_3': '0'}, {'candidate_2': '0'}, {'candidate_4': '0'}]",
"[{'candidate_4': '818'}, {'candidate_5': '764'}, {'candidate_2': '736'}, {'candidate_3': '731'}, {'candidate_1': '669'}, {'candidate_6': '646'}]",election_09-22-2020_23-05-20_6cands_0.023333333333333334noise.csv,"[{'candidate_4': '954'}, {'candidate_5': '899'}, {'candidate_2': '842'}, {'candidate_1': '838'}, {'candidate_3': '831'}, {'candidate_6': '0'}]","[{'candidate_4': ' 1156'}, {'candidate_5': ' 1103'}, {'candidate_1': ' 1060'}, {'candidate_2': ' 1045'}, {'candidate_3': '0'}, {'candidate_6': '0'}]","[{'candidate_4': ' 1515'}, {'candidate_5': ' 1447'}, {'candidate_1': ' 1402'}, {'candidate_2': '0'}, {'candidate_3': '0'}, {'candidate_6': '0'}]","[{'candidate_4': ' 2237'}, {'candidate_5': ' 2127'}, {'candidate_1': '0'}, {'candidate_2': '0'}, {'candidate_3': '0'}, {'candidate_6': '0'}]"
"[{'candidate_2': '11189'}, {'candidate_1': ' 6235'}, {'candidate_3': ' 4257'}]",election_09-22-2020_23-05-21_3cands_0.013333333333333334noise.csv,,,,
"[{'candidate_3': ' 1297'}, {'candidate_2': '824'}, {'candidate_1': '710'}]",election_09-22-2020_23-05-21_3cands_0.03noise.csv,"[{'candidate_3': ' 1532'}, {'candidate_2': ' 1299'}, {'candidate_1': '0'}]",,,
"[{'candidate_1': ' 8871'}, {'candidate_2': ' 7471'}, {'candidate_3': ' 6972'}, {'candidate_4': ' 6556'}, {'candidate_5': ' 5900'}]",election_09-22-2020_23-05-21_5cands_0.028000000000000004noise.csv,"[{'candidate_1': '10345'}, {'candidate_2': ' 8870'}, {'candidate_3': ' 8594'}, {'candidate_4': ' 7961'}, {'candidate_5': '0'}]","[{'candidate_1': '12901'}, {'candidate_3': '11590'}, {'candidate_2': '11279'}, {'candidate_4': '0'}, {'candidate_5': '0'}]","[{'candidate_1': '18593'}, {'candidate_3': '17177'}, {'candidate_2': '0'}, {'candidate_4': '0'}, {'candidate_5': '0'}]",
"[{'candidate_1': ' 3052'}, {'candidate_2': ' 2768'}, {'candidate_3': ' 1881'}]",election_09-22-2020_23-05-22_3cands_0.013333333333333334noise.csv,"[{'candidate_1': ' 3859'}, {'candidate_2': ' 3842'}, {'candidate_3': '0'}]",,,
"[{'candidate_1': ' 1916'}, {'candidate_2': '887'}, {'candidate_3': '456'}]",election_09-22-2020_23-05-22_3cands_0.02noise.csv,,,,
"[{'candidate_1': '20143'}, {'candidate_2': '13246'}, {'candidate_3': '11775'}]",election_09-22-2020_23-05-22_3cands_0.04666666666666667noise.csv,"[{'candidate_1': '26637'}, {'candidate_2': '18527'}, {'candidate_3': '0'}]",,,
"[{'candidate_2': '21881'}, {'candidate_1': '10574'}, {'candidate_3': ' 8370'}]",election_09-22-2020_23-05-22_3cands_0.0noise.csv,,,,
"[{'candidate_1': ' 7871'}, {'candidate_4': ' 6976'}, {'candidate_2': ' 6633'}, {'candidate_3': ' 2948'}]",election_09-22-2020_23-05-22_4cands_0.0125noise.csv,"[{'candidate_1': ' 8700'}, {'candidate_4': ' 7920'}, {'candidate_2': ' 7808'}, {'candidate_3': '0'}]","[{'candidate_1': '13387'}, {'candidate_4': '11041'}, {'candidate_2': '0'}, {'candidate_3': '0'}]",,
"[{'candidate_2': ' 4607'}, {'candidate_4': ' 4269'}, {'candidate_3': ' 3538'}, {'candidate_1': ' 3192'}]",election_09-22-2020_23-05-22_4cands_0.01noise.csv,"[{'candidate_4': ' 5771'}, {'candidate_2': ' 5469'}, {'candidate_3': ' 4366'}, {'candidate_1': '0'}]","[{'candidate_4': ' 7997'}, {'candidate_2': ' 7609'}, {'candidate_3': '0'}, {'candidate_1': '0'}]",,
"[{'candidate_3': ' 1219'}, {'candidate_4': ' 1105'}, {'candidate_2': ' 1077'}, {'candidate_5': ' 1065'}, {'candidate_1': ' 1033'}]",election_09-22-2020_23-05-22_5cands_0.006noise.csv,"[{'candidate_5': ' 1494'}, {'candidate_3': ' 1460'}, {'candidate_2': ' 1306'}, {'candidate_4': ' 1239'}, {'candidate_1': '0'}]","[{'candidate_5': ' 1977'}, {'candidate_3': ' 1850'}, {'candidate_2': ' 1672'}, {'candidate_4': '0'}, {'candidate_1': '0'}]","[{'candidate_5': ' 2794'}, {'candidate_3': ' 2705'}, {'candidate_2': '0'}, {'candidate_4': '0'}, {'candidate_1': '0'}]",
